height,treatment,mildew
3.88,treatment,0
5.65,treatment,0
3.97,treatment,1
5.66,treatment,0
5.24,treatment,0
5.72,treatment,0
4.06,treatment,0
5.1,treatment,0
4.54,treatment,0
3.53,treatment,1
5.15,treatment,0
6.77,treatment,0
4.35,treatment,1
4.8,treatment,0
5.69,treatment,1
5.04,treatment,0
6.94,treatment,1
5.74,treatment,0
7.32,treatment,1
5.35,treatment,0
3.87,treatment,1
5.42,treatment,1
4.08,treatment,0
3.99,treatment,0
4.81,treatment,1
5.93,treatment,0
5.34,treatment,1
5.81,treatment,0
5.92,treatment,0
4.83,treatment,0
2.6,treatment,1
5.8,treatment,0
7.17,treatment,1
5.06,treatment,1
3.65,treatment,0
4.63,treatment,1
4.07,treatment,0
4.96,treatment,1
5.68,treatment,0
5.87,treatment,0
5.24,treatment,0
4.07,treatment,0
5.81,treatment,1
6.35,treatment,0
7.25,treatment,0
4.51,treatment,0
5.47,treatment,1
6.19,treatment,0
4.88,treatment,1
5.52,treatment,1
5.21,treatment,0
4.87,treatment,0
5.17,treatment,0
5.96,treatment,1
5.41,treatment,1
4.53,treatment,0
2.76,treatment,1
4.2,treatment,0
4.98,treatment,0
2.49,treatment,1
7.21,treatment,0
3.51,treatment,1
3.84,treatment,1
6.46,treatment,0
2.81,treatment,0
5.74,treatment,0
4.66,treatment,0
5.46,treatment,0
5.88,treatment,1
4.04,treatment,0
4.29,treatment,0
2,treatment,1
4.04,treatment,1
5.38,treatment,0
5.51,treatment,1
7.03,treatment,1
5.06,treatment,1
5.46,treatment,0
5.07,treatment,1
4.51,treatment,0
5.75,treatment,0
5.46,treatment,0
5.13,treatment,0
4.18,treatment,0
4.96,treatment,1
5.78,treatment,0
5.68,treatment,0
4.52,treatment,1
4.33,treatment,1
5.51,treatment,0
6.05,treatment,0
5.12,treatment,1
4.69,treatment,0
4.12,treatment,1
4.58,treatment,0
3.52,treatment,0
4.3,treatment,0
6.13,control,0
6.11,control,1
4.13,control,1
5.21,control,0
5.07,control,0
3.34,control,0
5.81,control,1
3.09,control,0
3.75,control,0
6,control,0
4.46,control,0
4.78,control,0
3.38,control,0
3.55,control,0
5.35,control,0
4.83,control,1
4.41,control,0
3.67,control,1
3.9,control,1
7.04,control,0
4.67,control,0
5.77,control,0
5.79,control,0
5.76,control,0
5.29,control,0
3.75,control,0
3.99,control,1
5.75,control,0
3.69,control,0
5.53,control,1
4.47,control,0
4.6,control,0
4.21,control,0
4.77,control,1
5.88,control,0
5.45,control,1
4.77,control,1
5.87,control,0
6.66,control,0
4.99,control,0
5.47,control,0
5.28,control,1
4.02,control,0
4.07,control,0
6.92,control,0
5.88,control,0
5.74,control,0
5.15,control,1
5.49,control,1
5.15,control,0
5.04,control,1
5.22,control,0
3.99,control,0
7.4,control,0
5.8,control,0
4.75,control,1
6.21,control,0
4.37,control,0
6.71,control,0
4.61,control,0
2.68,control,0
6.36,control,0
6.13,control,0
4.23,control,1
3.59,control,0
3.17,control,0
4.73,control,0
3.17,control,0
4.19,control,0
5.16,control,0
5.86,control,1
4.18,control,0
4.88,control,0
5.25,control,0
6.72,control,0
4.04,control,0
3.4,control,1
3.15,control,1
5.56,control,0
4.94,control,0
5.77,control,0
4.86,control,0
5.39,control,0
5.22,control,0
5.02,control,1
4.38,control,0
6.26,control,1
4.59,control,1
5.67,control,1
5.16,control,0
6.78,control,1
5.71,control,0
4.66,control,0
4.99,control,0
4.87,control,1
2.91,control,0
6.7,control,1
6.06,control,0
4.23,control,1
5.38,control,0
5.24,control,0
3.87,control,1
6.49,control,0
4.75,control,0
5.18,control,0
5.4,control,0
4.01,control,0
3.91,control,0
4.95,control,0
5.58,control,0
5.07,control,0
5.71,control,0
5.33,control,1
5.55,control,0
3.6,control,1
5.68,control,0
4.21,control,1
4.53,control,0
4.9,control,1
3.35,control,0
4.9,control,0
4.56,control,1
4.28,control,1
4.45,control,0
6.25,control,0
3.74,control,0
4.78,control,1
2.53,control,0
4.33,control,1
4.5,control,0
6.54,control,0
4.04,control,1
4.13,control,0
3.6,control,0
5.18,control,0
6.15,control,0
3.8,control,0
4.57,control,0
6.37,control,0
4.32,control,0
5.69,control,0
5.39,control,1
3.69,control,1
6.22,control,0
5.8,control,0
4.51,control,0
4.1,control,0
4.61,control,1
5.81,control,0
4.44,control,1
3.13,control,0
4.86,control,0
5.77,control,0
3.84,control,0
4.76,control,0
3.78,control,0
5.12,control,0
4.87,control,0
4.97,control,0
4.38,control,0
4.29,control,0
5.87,control,0
5.11,control,0
4.81,control,0
1.79,control,1
3.72,control,1
5.76,control,0
4.59,control,0
3.79,control,1
4.56,control,0
4.62,control,0
4.5,control,0
5.5,control,0
6.52,control,1
5.99,control,0
6.25,control,1
4.67,control,0
5.84,control,0
4.02,control,0
4.86,control,0
7.19,control,1
4.99,control,1
4.69,control,0
4.42,control,0
5.77,control,1
7.11,control,0
5.41,control,0
4.74,control,0
7.07,control,0
4.22,control,0
6.13,control,0
4.58,control,1
3.98,control,0
6.22,control,0
3.2,control,0
4.69,control,0
5.02,control,0
4.56,control,1
3.36,control,1
4.36,control,1
3.44,control,0
6.92,control,0
3.14,control,1
2.89,control,0
5.7,control,0
5.91,control,0
4.8,control,0
4.79,control,0
5.73,control,0
6.4,control,0
3.41,control,0
6.3,control,0
5.2,control,0
4.66,control,0
6.27,control,0
5.94,control,1
6.28,control,0
4.71,control,0
5.78,control,0
5.3,control,0
4.48,control,0
6.76,control,0
5.16,control,1
4.95,control,1
5.53,control,0
5.39,control,1
4.29,control,0
4.95,control,0
7.61,control,0
4.93,control,0
4.7,control,0
5.73,control,0
5.4,control,0
4.46,control,1
3.92,control,0
5.85,control,0
5.12,control,1
5.48,control,0
4.71,control,1
3.35,control,1
5.07,control,0
7.39,control,0
3.54,control,0
4.02,control,0
3.66,control,1
4.63,control,0
6.38,control,0
4.85,control,0
4.74,control,0
3.71,control,0
