length,lengthCat,genre,success
285.649151,medium,country,0
339.2181595,medium,pop,0
325.3772661,medium,country,1
134.0249566,short,country,0
347.1142293,medium,pop,1
328.5604141,medium,pop,0
359.0282114,long,rock,0
294.2356219,medium,rap,1
310.28776,medium,pop,0
305.7182859,medium,punk,0
110.6294834,short,punk,0
263.168594,medium,country,0
181.7025058,short,pop,0
396.0340816,long,rap,1
120.0559346,short,pop,1
333.1073289,medium,rap,1
242.7162717,short,rock,0
100.0637505,short,country,1
373.5080202,long,rock,0
155.3104441,short,pop,1
140.1710019,short,rap,1
241.5745063,short,punk,0
343.6328267,medium,rap,0
394.9517066,long,pop,0
129.3875083,short,punk,0
308.3597575,medium,pop,1
169.2376397,short,rap,1
346.3444763,medium,country,0
184.7338431,short,pop,0
386.6858448,long,rock,0
336.5564747,medium,country,1
134.6563712,short,pop,1
278.8405634,medium,country,0
329.0599235,medium,rap,1
173.5950723,short,pop,0
359.7225617,long,punk,0
219.2214946,short,punk,0
252.6535772,medium,country,0
304.1785711,medium,rap,0
377.9537495,long,rap,0
332.4358005,medium,rap,0
332.430404,medium,pop,0
134.2914064,short,punk,0
241.417737,short,pop,0
299.671645,medium,punk,0
234.0275154,short,rock,0
298.5793877,medium,country,1
397.9419105,long,country,0
383.6816996,long,pop,0
127.5138256,short,punk,0
149.0667439,short,punk,0
112.5236751,short,pop,1
201.8527722,short,pop,0
285.5282191,medium,rock,0
248.9330623,short,country,0
343.6935075,medium,rock,0
221.4737757,short,rock,0
243.5243542,short,rock,0
113.7848622,short,pop,0
235.1451935,short,punk,0
227.8483121,short,punk,0
126.4427279,short,pop,0
329.8612755,medium,rock,0
318.3799903,medium,rock,0
276.6175044,medium,country,0
210.9592302,short,country,0
216.2352626,short,punk,0
281.3800497,medium,country,1
211.4835601,short,country,0
272.312279,medium,country,0
114.8684149,short,rap,1
271.7371272,medium,country,0
244.7841003,short,punk,1
280.3176044,medium,country,0
369.6553503,long,rock,0
220.3603244,short,rap,0
148.0171467,short,rock,0
258.1777374,medium,rock,0
314.2068313,medium,pop,0
108.5909319,short,punk,0
344.6950784,medium,rock,0
114.7973718,short,rap,1
128.6921202,short,punk,0
284.1957867,medium,punk,0
232.5995141,short,punk,0
344.0039367,medium,pop,0
220.8759792,short,rap,0
153.5117354,short,punk,0
305.1539668,medium,country,0
301.2323581,medium,country,0
348.8195652,medium,rap,0
146.0547092,short,country,0
357.3955919,long,rock,0
345.4215883,medium,rock,0
206.2983889,short,rap,1
260.3169861,medium,pop,0
184.8407452,short,pop,1
374.954555,long,rock,0
384.2604636,long,pop,0
121.6533942,short,punk,0
339.8400181,medium,pop,0
121.2651726,short,punk,0
198.7420271,short,punk,0
393.0327299,long,rock,0
246.8222873,short,rap,1
323.6265586,medium,country,0
135.8719595,short,rock,0
286.1470061,medium,pop,1
361.8338245,long,country,1
365.8222715,long,rock,0
130.9401637,short,punk,0
325.4568738,medium,rap,0
120.8039847,short,punk,0
226.3970106,short,punk,0
261.3138576,medium,rap,0
294.452964,medium,country,1
313.4420299,medium,country,0
188.044172,short,punk,0
248.0653507,short,punk,0
354.0572907,long,pop,0
251.6315919,medium,punk,0
331.6996114,medium,country,0
295.1103493,medium,pop,0
358.9548352,long,rock,0
322.9445266,medium,punk,0
378.4365324,long,rock,0
168.9749152,short,pop,0
244.9136949,short,punk,0
367.4770904,long,country,0
174.3596982,short,pop,0
333.5309992,medium,rap,0
183.906219,short,punk,0
263.5692394,medium,country,0
323.2740568,medium,country,0
229.8114585,short,punk,0
327.2773227,medium,country,0
362.2519358,long,rap,0
110.2738444,short,rock,0
273.937782,medium,punk,0
350.1953043,long,rap,1
375.7540816,long,rock,0
397.111273,long,punk,0
284.990551,medium,punk,0
217.6626139,short,pop,0
352.5549774,long,rap,1
294.3038086,medium,country,0
364.5864376,long,rap,0
298.3595154,medium,country,0
261.5277692,medium,punk,0
317.7632894,medium,pop,1
248.1488011,short,pop,0
203.2749554,short,country,1
300.7778254,medium,country,0
115.426608,short,country,0
175.0654452,short,punk,0
373.2685908,long,pop,0
205.080371,short,punk,0
332.1761767,medium,rock,0
299.3498902,medium,rock,0
280.7688826,medium,country,0
292.4228103,medium,country,0
109.2487436,short,rock,0
218.9487436,short,punk,0
323.8700084,medium,rap,1
154.4833269,short,rap,1
188.3391281,short,pop,0
107.704392,short,rap,1
107.8896102,short,rock,0
354.7703047,long,country,0
327.2472765,medium,pop,0
233.8568232,short,punk,0
209.7376165,short,punk,0
271.433985,medium,rap,1
266.7081201,medium,pop,0
368.2568654,long,rock,0
325.619152,medium,punk,0
137.0081299,short,punk,0
194.9491996,short,rock,0
218.585832,short,country,0
271.4304552,medium,pop,0
294.912666,medium,rap,1
373.1120963,long,rock,0
129.0278895,short,punk,0
182.396064,short,country,0
108.6424117,short,punk,0
374.4233004,long,rock,0
277.9147142,medium,country,0
315.3728478,medium,rock,0
341.5930185,medium,rap,0
144.9835705,short,country,1
155.4179705,short,rock,0
300.1572276,medium,rap,0
199.4777903,short,pop,1
376.129441,long,rock,0
206.7616709,short,punk,0
307.9419365,medium,rap,0
189.2021329,short,punk,0
105.3127201,short,punk,0
272.9617215,medium,rap,1
249.0879816,short,punk,0
204.6074418,short,rock,0
104.7049776,short,punk,0
149.7024367,short,punk,0
376.0899226,long,rock,0
113.4620682,short,pop,0
229.3106213,short,country,1
217.0118851,short,punk,0
159.0574218,short,punk,0
214.393738,short,punk,0
129.2005046,short,country,0
172.7348526,short,punk,0
183.2463301,short,pop,0
190.6745909,short,rock,0
244.0813668,short,punk,0
392.7218415,long,rock,0
106.4289307,short,country,0
105.1905804,short,pop,0
294.1936486,medium,rap,1
149.3097224,short,country,1
346.1862479,medium,rock,0
293.5058575,medium,pop,1
109.3530121,short,pop,1
234.7174862,short,rap,0
342.6137422,medium,pop,0
151.0093046,short,rap,1
184.8163458,short,pop,0
130.6827408,short,punk,0
247.8121144,short,pop,0
389.7697113,long,rock,0
241.6757383,short,punk,0
173.8782845,short,country,1
268.1991996,medium,pop,0
295.68724,medium,rap,1
342.8906998,medium,punk,0
325.4022161,medium,country,1
148.416558,short,rap,1
137.3531644,short,pop,1
377.1526569,long,rock,0
243.0021985,short,pop,0
138.3976411,short,country,1
199.4299608,short,punk,0
283.0184536,medium,country,0
141.394015,short,rap,1
136.1087458,short,punk,0
252.588607,medium,pop,1
283.1338603,medium,rap,0
175.9966589,short,rock,0
269.6677169,medium,country,0
251.734975,medium,country,0
358.9031038,long,rock,0
374.8389839,long,rock,0
297.1597587,medium,punk,0
349.0434794,medium,rock,0
163.7989816,short,rock,0
199.8683123,short,punk,0
374.9715023,long,pop,0
201.7801913,short,pop,1
256.7722365,medium,country,0
390.6651775,long,rock,0
161.2352455,short,rap,0
316.3764932,medium,punk,0
129.8045987,short,pop,1
